genus,wood_density
Maburea,0.818
Macadamia,0.7032499999999999
Macaranga,0.38205357142857144
Macarisia,0.687
Macbrideina,0.54
Machaerium,0.8182142857142857
Mackinlaya,0.725
Maclura,0.796952380952381
Maclurodendron,0.55
Macoubea,0.4143333333333333
Macrocnemum,0.45
Macrolobium,0.6025
Macropanax,0.31
Madhuca,0.6814146341463414
Maesa,0.676
Maesopsis,0.3835
Magnolia,0.49591999999999997
Magonia,0.77
Mahurea,0.71
Mallotus,0.5026551724137931
Malmea,0.39
Malouetia,0.5266666666666666
Malus,0.6006
Mammea,0.6726521739130434
Mangifera,0.5108
Manglietia,0.40985714285714286
Manilkara,0.8854444444444445
Maniltoa,0.7466
Mansonia,0.57716
Mappia,0.65
Maprounea,0.588
Maquira,0.5635
Maranthes,0.8172941176470588
Margaritaria,0.6643333333333333
Markhamia,0.5813
Marlierea,0.945
Marmaroxylon,0.8442999999999999
Marquesia,0.758
Martiodendron,0.8446666666666666
Mastixia,0.4716666666666667
Mastixiodendron,0.70225
Matayba,0.75
Matisia,0.472875
Maytenus,0.7101904761904761
Medicosma,0.676
Medusanthera,0.39
Melaleuca,0.699
Melanochyla,0.5862499999999999
Melanolepis,0.34
Melanoxylon,1.038
Melastoma,0.44
Melia,0.4403636363636364
Melicoccus,0.98
Melicope,0.475
Melicytus,0.585
Meliosma,0.5057777777777778
Melliodendron,0.4305
Melochia,0.32
Memecylon,0.7655263157894737
Meriania,0.49
Merrillia,0.72
Mesua,0.7205
Metadina,0.72
Metasequoia,0.28400000000000003
Metopium,0.5666666666666667
Metrodorea,1.05
Metrosideros,0.7228888888888889
Metteniusa,0.6
Mezilaurus,0.754235294117647
Mezzettia,0.5366666666666666
Michelia,0.5036206896551725
Michelsonia,0.766
Miconia,0.6227692307692307
Micrandra,0.6765
Microberlinia,0.6796666666666666
Microcos,0.5002
Microlobius,0.71
Micromelum,0.66
Micropholis,0.6511153846153845
Microplumeria,0.73
Microtropis,0.54
Milicia,0.5715588235294118
Miliusa,0.6498333333333334
Millettia,0.7271176470588235
Millingtonia,0.5770000000000001
Mimosa,0.8235
Mimulus,0.62
Mimusops,0.8331538461538461
Minquartia,0.7867142857142857
Mischarytera,0.598
Mischocarpus,0.7312222222222222
Mitragyna,0.5275555555555556
Mitrephora,0.68
Moldenhawera,0.81
Mollia,0.49
Monocarpia,0.48
Monodora,0.49
Monopetalanthus,0.517075
Monopteryx,0.73
Monotes,0.758
