site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,date,dead,type,plot_id,htot_feldpausch,htot_estimated,htot_estimation_method,dbh_incr_cm_yr,dbh_incr_source,gap_anos,dbh_lidar,htot_estimated_gap
JAM_A01,111,Inga thibaudiana,Fabaceae,522944.7749,8998073.14,0.58,0.02205021,9.5,8.33,4.57,20111208,A,O,T07,10.23,10.23,feldpausch_regional,0.18,default,0.0,9.5,10.23
JAM_A01,112,Terminalia amazonia,Combretaceae,522945.0821,8998074.943,0.68,0.367877139,24.8,17.27,11.01,20111208,A,O,T07,19.7,19.7,feldpausch_regional,0.18,default,0.0,24.8,19.7
JAM_A01,113,NI,NI,522944.239,8998079.379,0.62,0.008855347,7.2,5.41,3.44,20111208,A,O,T07,8.34,8.34,feldpausch_regional,0.18,default,0.0,7.2,8.34
JAM_A01,114,Helicostylis sp.,Moraceae,522943.836,8998095.575,0.65,0.011460363,8.2,5.13,4.1,20111208,A,O,T07,9.19,9.19,feldpausch_regional,0.18,default,0.0,8.2,9.19
JAM_A01,115,NI,NI,522944.0147,8998097.278,0.45,0.020238123,19.3,2.32,,20111208,D,O,T07,16.77,16.77,feldpausch_regional,0.18,default,0.0,19.3,16.77
JAM_A01,116,Tachigali alba,Fabaceae,522944.9808,8998099.99,0.56,1.571058749,39.8,34.78,22.99,20111208,A,O,T07,26.0,26.0,feldpausch_regional,0.18,default,0.0,39.8,26.0
JAM_A01,117,NI,NI,522943.3903,8998123.172,0.62,0.01519507,7.3,9.04,4.96,20111208,A,O,T07,8.43,8.43,feldpausch_regional,0.18,default,0.0,7.3,8.43
JAM_A01,118,Ormosia grossa,Fabaceae,522943.2013,8998130.27,0.62,0.41568931,25.2,20.71,12.95,20111208,A,O,T07,19.9,19.9,feldpausch_regional,0.18,default,0.0,25.2,19.9
JAM_A01,119,Inga thibaudiana,Fabaceae,522943.6424,8998134.976,0.58,0.179368702,15.9,24.18,13.54,20111208,A,O,T07,14.73,14.73,feldpausch_regional,0.18,default,0.0,15.9,14.73
JAM_A01,120,,,522949.4179,8998144.949,,0.01294881,10.5,,,20111208,A,L,T07,11.0,11.0,feldpausch_regional,0.18,default,0.0,10.5,11.0
JAM_A01,121,Tetragastris altissima,Burseraceae,522943.4397,8998143.174,0.71,0.566908162,25.2,24.78,14.33,20111208,A,O,T07,19.9,19.9,feldpausch_regional,0.18,default,0.0,25.2,19.9
JAM_A01,122,Vochysia maxima,Vochysiaceae,522943.2089,8998169.573,0.49,0.602927912,33.5,21.54,13.46,20111208,A,O,T07,23.61,23.61,feldpausch_regional,0.18,default,0.0,33.5,23.61
JAM_A01,123,Helicostylis sp.,Moraceae,522943.4052,8998169.876,0.65,0.104401115,14.0,16.04,8.9,20111208,A,O,T07,13.49,13.49,feldpausch_regional,0.18,default,0.0,14.0,13.49
JAM_A01,124,Eschweilera coriacea,Lecythidaceae,522942.4321,8998191.665,0.85,0.015573843,7.2,6.93,3.94,20111208,A,O,T07,8.34,8.34,feldpausch_regional,0.18,default,0.0,7.2,8.34
JAM_A01,125,Helicostylis sp.,Moraceae,522942.587,8998195.267,0.65,0.289817317,19.1,23.92,13.32,20111208,A,O,T07,16.65,16.65,feldpausch_regional,0.18,default,0.0,19.1,16.65
JAM_A01,126,Dacryodes edilsonii,Burseraceae,522943.2857,8998195.376,0.52,1.79227885,44.6,34.26,24.92,20111208,A,O,T07,27.63,27.63,feldpausch_regional,0.18,default,0.0,44.6,27.63
JAM_A01,127,Lacunaria jenmanii,Quiinaceae,522942.3444,8998198.665,0.8,0.005356197,5.6,4.17,2.06,20111208,A,O,T07,6.9,6.9,feldpausch_regional,0.18,default,0.0,5.6,6.9
JAM_A01,128,Tetragastris altissima,Burseraceae,522943.0729,8998204.374,0.71,0.588103206,25.0,26.12,19.93,20111208,A,O,T07,19.8,19.8,feldpausch_regional,0.18,default,0.0,25.0,19.8
JAM_A01,129,Bertholletia excelsa,Lecythidaceae,522946.0727,8998204.412,0.64,40.84149612,149.0,56.47,36.18,20111208,A,O,T07,43.32,43.32,feldpausch_regional,0.18,default,0.0,149.0,43.32
JAM_A01,130,Euterpe oleracea,Arecaceae,522942.1565,8998213.663,,0.006381255,5.0,7.08,5.13,20111208,A,P,T07,6.33,6.33,feldpausch_regional,0.18,default,0.0,5.0,6.33
