site,tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch
TAC_A01,27,Theobroma glaucum,Malvaceae,797479.7629,9728505.732,13.0,4.71,1.12,False,O,P07,12.81
TAC_A01,28,Theobroma glaucum,Malvaceae,797479.6965,9728505.653,7.1,1.18,0.5,False,O,P07,8.25
TAC_A01,29,Theobroma glaucum,Malvaceae,797483.8157,9728502.579,7.0,6.01,2.42,False,O,P07,8.17
TAC_A01,30,Theobroma glaucum,Malvaceae,797483.9483,9728502.739,6.2,3.66,2.43,False,O,P07,7.45
TAC_A01,31,Theobroma grandiflorum,Malvaceae,797483.2352,9728501.72,18.4,10.2,2.64,False,O,P07,16.25
TAC_A01,32,Theobroma glaucum,Malvaceae,797485.887,9728504.911,6.1,3.7,1.6,False,O,P07,7.36
TAC_A01,33,Theobroma glaucum,Malvaceae,797481.5225,9728508.13,7.5,3.89,1.6,False,O,P07,8.6
TAC_A01,34,Theobroma glaucum,Malvaceae,797469.2524,9728517.181,10.4,4.42,1.26,False,O,P07,10.93
TAC_A01,35,Theobroma glaucum,Malvaceae,797465.2997,9728520.097,15.3,6.67,2.05,False,O,P07,14.34
TAC_A01,36,Theobroma glaucum,Malvaceae,797463.264,9728525.244,5.4,4.29,1.43,False,O,P07,6.71
TAC_A01,37,Theobroma glaucum,Malvaceae,797463.3307,9728525.316,12.6,1.73,0.63,False,O,P07,12.53
TAC_A01,38,Theobroma glaucum,Malvaceae,797466.9681,9728522.544,6.4,3.67,1.65,False,O,P07,7.64
TAC_A01,39,Theobroma glaucum,Malvaceae,797467.0347,9728522.618,10.8,5.64,3.11,False,O,P07,11.23
