tree_id,scientific_name,family_name,utm_easting,utm_northing,dbh,dead,type,plot_id,htot_feldpausch
55,Euterpe oleracea,Arecaceae,798766.0402,9726474.077,11.6,False,P,2,11.82
56,Euterpe oleracea,Arecaceae,798766.1262,9726474.028,11.7,False,P,2,11.89
57,Euterpe oleracea,Arecaceae,798762.9819,9726468.582,10.2,False,P,2,10.78
58,Xylopia nitida,Annonaceae,798759.4447,9726470.405,19.0,False,O,2,16.6
59,Xylopia nitida,Annonaceae,798759.2089,9726469.967,10.6,False,O,2,11.08
60,Xylopia nitida,Annonaceae,798759.1262,9726467.712,10.2,False,O,2,10.78
61,Euterpe oleracea,Arecaceae,798759.5566,9726467.461,10.6,False,P,2,11.08
62,,,798757.3223,9726466.462,18.7,False,O,2,16.42
63,Cecropia palmata,Urticaceae,798758.2772,9726466.133,18.2,False,O,2,16.13
64,Simarouba amara,Simaroubaceae,798758.5717,9726464.576,24.5,False,O,2,19.55
65,,,798755.4357,9726462.956,11.6,False,O,2,11.82
66,Simarouba amara,Simaroubaceae,798758.017,9726461.434,11.7,False,O,2,11.89
